Line,PrimaryTrain,Color
8 Avenue,A,#2850AD
Broadway-7th Ave,1,#EE352E
Lexington,6,#00933C
Queens Boulevard,E,#FF6319
6 Avenue,F,#FF6319
Broadway,N,#FCCC0A
Flushing,7,#B933AD
Fulton,A,#2850AD
Canarsie,L,#A7A9AC
White Plains Road,2,#EE352E
Broadway Jamaica,J,#996633
Pelham,6,#00933C
Concourse,B,#2850AD
4 Avenue,R,#FCCC0A
Crosstown,G,#6CBE45
Jerome,4,#00933C
Brighton,B,#2850AD
West End,D,#FF6319
Rockaway,A,#2850AD
Eastern Parkway,2,#EE352E
Culver,F,#FF6319
Nostrand,2,#EE352E
Nassau,J,#996633
Liberty,A,#2850AD
Astoria,N,#FCCC0A
Lenox,2,#EE352E
Archer Av,E,#FF6319
Clark,2,#EE352E
New Lots,3,#EE352E
Sea Beach,N,#FCCC0A
63rd Street,F,#FF6319
Myrtle,M,#A7A9AC
42nd St Shuttle,GS,#6CBE45
Dyre Av,5,#00933C
Franklin,FS,#FF6319
Coney Island,F,#FF6319
